134,自信動搖機,第37卷第6話
135,厄運鑽石,第8卷第7話
136,恐怖的正義繩索,第23卷第3話
137,迷你熱氣球,第40卷第15話
138,四次元擴建板,第27卷第1話
139,連起來的線,第31卷第12話
140,浦島糖果,第9卷第9話
141,哆啦A夢與哆啦美,P4卷第20話
142,惡魔護照,第13卷第17話
143,可愛石頭的故事,第37卷第11話
144,沖啊！大雄超人,第21卷第9話
145,如果電話亭,第11卷第1話
146,靜香奪還戰（上集）,第40卷第19卷
147,靜香奪還戰（下集）,第40卷第19卷
148,漂亮的小咪,第14卷第14話
149,睡覺天才大雄,第30卷第5話
150,魯濱遜漂流記裝備,第39卷第18話
151,立即成真喇叭,第37卷第10話
152,大危機！小夫的考卷,第28卷第11話
153,世界沉沒,第4卷第10話
154,情侶測試徽章,第19卷第7話
155,地底國的探險（上集）,第5卷第9話
156,地底國的探險（下集）,第5卷第9話
157,盲點星,第40卷第12話
158,狼的一家,第2卷第11話
159,沒有鏡子的世界,第27卷第17話
160,不可能製作動漫,第24卷第13話
161,大雄的黑洞,第26卷第15話
162,咒語是Chin Ka Ra Hoi 魔法師大雄,動畫原創
163,把〇〇交給魔王殿下…惡魔城的秘密,動畫原創
164,,動畫原創
165,穿紅鞋子的女孩,第6卷第10話
166,空地的大白鯊,第30卷第3話
167,後山大冒險！ 救出大雄的決死探險隊,第22卷第10話
168,感激光環,P3卷第8話
169,那個人的起居室,動畫原創
170,小魔女靜香,第26卷第8話
171,靜香心中的秘密,第28卷第7話
172,正義的英雄 超人胖虎,P2卷第13話
173,正義的英雄貓頭鷹人,第34卷第4話
174,不能飼養哆啦A夢嗎？,第37卷第13話
175,恐怖的胖虎生日,第23卷第5話
176,恐怖的胖虎生日又來了,動畫原創
177,胖虎被打敗了！？,第36卷第7話
178,大雄變成畢卡索！？差變好噴霧,第43卷第13話
179,用沒有存的錢,第4卷第8話
180,海盜大決戰 南海的愛情羅曼史,動畫原創
181,大胸房間裡的地平線,第28卷第2話
182,蛋中的靜香,第37卷第15話
183,烏黑的人氣明星,第30卷第2話
184,強迫運動屋,第19卷第1話
185,貓咪建立公司了喵,第15卷第2話
186,雲中的游泳池,第14卷第18話
187,獨家新聞！與大雄的秘密約會,第24卷第12話
188,大象與叔叔,第5卷第18話
189,我的主人肚子餓了,P5卷第7話
190,偷走媽媽的鑽石,第7卷第7話
191,未來購物要小心,第7卷第10話
192,哆啦A夢生重病了？,第45卷第2話
193,哆啦A夢的重生之日,動畫原創
194,不要搶走我的傑克,第43卷第18話
195,大雄養育的輝夜公主,第37卷第12話
196,買菜的是孫悟空 拖地的是灰姑娘,第40卷第5話
197,大雄成神仙了！？,第43卷第8話
198,颱風的風子,第6卷第15話
199,匹諾曹之花,動畫原創
200,21世紀的殿下,第24卷第4話
201,美食家桌布,P1卷第1話
202,雪男的兼職,P4卷第8話
203,我是迷你哆啦,第41卷第6話
204,顏值，力量，還是IQ,第40卷第6話
205,保護王子！ 傳說中的哆啦美三劍士,動畫原創
206,大雄的小小大冒險,第35卷第19話
207,戰國時代哆啦地藏,第36卷第19話
208,馬上就是鼠年了喲，哆啦A夢,P5卷第1話
209,閃電式交換,動畫原創
210,點心牧場,第24卷第6話
211,遲到STOP大作戰,動畫原創
212,打倒胖虎！魔法的咒語,第37卷第1話
213,大雄+鴿子=？,P5卷第16話
214,頑強的石頭,第43卷第12話
215,小夫的美容院之行,動畫原創
216,再見了小夫,動畫原創
217,宇宙神槍手大雄（上集）,第24卷第16話
218,宇宙神槍手大雄（下集）,第24卷第16話
219,向大雄隊長敬禮！,第15卷第12話
220,天才·出木衫的火箭計畫,第25卷第4話
221,無敵的 ULTRA SPECIAL MIGHTY STRONG SUPER 鎧甲,第16卷第13話
222,愛上大雄的精靈,第21卷第16話
223,我是桃太郎的什麼人2008,第9卷第18話
224,森林是活的,第26卷第12話
225,特攝奧哆啦曼,第20卷第19話
2007年劇場版,大雄的新魔界大冒險～7人魔法師～,大長篇第5篇大長篇第28篇
226,樹小子戀愛了,動畫原創
